,month,day,year,city,state,nwound,nkill,naff,suicide,killed_by_police,source_quoted,shots_fired_at_schoolgrounds,shots_fired_at_bar_nightclub_stripclub,shots_fired_at_home,gender,location,lon,lat,date,Time
44,12,19,2011,Bayonne,NJ,0,3,3,1,0,1,0,0,0,1,"Bayonne, NJ",-74.1143091,40.6687141,12/19/2011,2543
45,12,16,2011,Irwindale,CA,2,2,4,1,0,1,0,0,0,1,"Irwindale, CA",-117.9353413,34.1069527,12/16/2011,2540
46,12,16,2011,Emmington,IL,0,5,5,0,0,1,0,0,1,NA,"Emmington, IL",-88.3581096,40.9697547,12/16/2011,2540
47,12,9,2011,Cambridge,MA,0,3,3,1,0,1,0,0,0,NA,"Cambridge, MA",-71.1097335,42.3736158,12/9/2011,2533
48,11,30,2011,Bay City,TX,1,4,5,0,0,1,0,0,0,NA,"Bay City, TX",-95.969402,28.9827565,11/30/2011,2524
49,11,29,2011,Oakland,CA,6,1,7,0,0,1,0,0,0,NA,"Oakland, CA",-122.2711639,37.8043514,11/29/2011,2523
50,11,27,2011,Wichita,KS,4,0,4,0,0,1,0,0,0,NA,"Wichita, KS",-97.330053,37.6871761,11/27/2011,2521
51,11,20,2011,Guilford County,NC,1,5,6,1,0,1,0,0,0,NA,"Guilford County, NC",-79.8296743,36.0899873,11/20/2011,2514
52,10,12,2011,Orange County,CA,3,6,9,0,0,1,0,0,0,1,"Orange County, CA",-117.8311428,33.7174708,10/12/2011,2475
53,10,10,2011,Anchorage,AK,2,2,4,0,0,1,0,1,0,1,"Anchorage, AK",-149.9002778,61.2180556,10/10/2011,2473
54,10,10,2011,Newark,NJ,4,0,4,0,0,1,0,0,1,NA,"Newark, NJ",-74.1723667,40.735657,10/10/2011,2473
55,10,8,2011,Chicago,IL,20,3,23,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,10/8/2011,2471
56,10,8,2011,Dallas,TX,0,8,8,0,0,1,0,0,0,NA,"Dallas, TX",-96.7969879,32.7766642,10/8/2011,2471
57,10,5,2011,Cupertino,CA,7,3,10,0,0,1,0,0,0,NA,"Cupertino, CA",-122.0321823,37.3229978,10/5/2011,2468
58,9,6,2011,Carson City,NV,7,4,11,1,0,1,0,0,0,1,"Carson City, NV",-119.7674034,39.1637984,9/6/2011,2439
59,8,28,2011,Jacksonville,FL,11,0,11,0,0,1,0,0,0,NA,"Jacksonville, FL",-81.655651,30.3321838,8/28/2011,2430
60,8,22,2011,Philadelphia,PA,6,0,6,0,0,1,0,0,0,NA,"Philadelphia, PA",-75.1652215,39.9525839,8/22/2011,2424
61,8,20,2011,Lynden,WA,NA,NA,4,0,0,1,0,0,0,1,"Lynden, WA",-122.4529469,48.9428018,8/20/2011,2422
62,8,13,2011,Kansas City,MO,3,0,3,0,0,1,0,0,0,NA,"Kansas City, MO",-94.5785667,39.0997265,8/13/2011,2415
63,8,7,2011,Copely,OH,1,7,8,0,1,1,0,0,1,1,"Copely, OH",-81.6363869,41.0875099,8/7/2011,2409
64,7,24,2011,Auburn,WA,7,0,7,0,0,1,0,0,0,1,"Auburn, WA",-122.2284532,47.3073228,7/24/2011,2395
65,7,24,2011,Apopka,FL,9,0,9,0,0,1,0,0,1,NA,"Apopka, FL",-81.5322149,28.6934076,7/24/2011,2395
66,7,23,2011,Stockton,CA,8,1,9,0,0,1,0,0,1,NA,"Stockton, CA",-121.2907796,37.9577016,7/23/2011,2394
67,7,23,2011,Grand Prairie,TX,0,5,5,1,0,1,0,0,0,1,"Grand Prairie, TX",-96.9977846,32.7459645,7/23/2011,2394
68,7,7,2011,Grand Rapids,MI,2,7,9,1,0,1,0,0,0,1,"Grand Rapids, MI",-85.6680863,42.9633599,7/7/2011,2378
69,7,2,2011,Bechtelsville,PA,2,3,5,0,1,1,0,0,1,NA,"Bechtelsville, PA",-75.6290752,40.3734297,7/2/2011,2373
70,6,30,2011,Lauderdale Lakes,FL,10,2,12,0,0,1,0,1,0,1,"Lauderdale Lakes, FL",-80.2083806,26.1664736,6/30/2011,2371
71,6,19,2011,Medford,NY,0,4,4,0,0,1,0,0,0,1,"Medford, NY",-73.0001068,40.8175985,6/19/2011,2360
72,4,30,2011,West Union,OH,0,4,4,0,1,1,0,0,1,1,"West Union, OH",-83.5451934,38.7945166,4/30/2011,2310
73,3,25,2011,Irvington,NJ,4,1,5,0,0,1,0,1,0,NA,"Irvington, NJ",-74.2286435,40.7263249,3/25/2011,2274
74,3,20,2011,Portland,OR,4,0,4,0,0,1,0,0,1,NA,"Portland, OR",-122.6750261,45.5051064,3/20/2011,2269
75,3,15,2011,Tarpon Springs,FL,0,3,3,1,0,1,0,0,1,1,"Tarpon Springs, FL",-82.7567679,28.1461248,3/15/2011,2264
76,3,2,2011,Burlington,CO,2,2,4,0,0,1,0,0,0,1,"Burlington, CO",-102.2693563,39.3061082,3/2/2011,2251
77,2,6,2011,Youngstown,OH,11,1,12,0,0,1,1,0,0,NA,"Youngstown, OH",-80.6495194,41.0997803,2/6/2011,2227
78,2,5,2011,Jacksonville,FL,NA,NA,5,0,0,1,0,0,0,NA,"Jacksonville, FL",-81.655651,30.3321838,2/5/2011,2226
79,1,8,2011,Tucson,AZ,13,6,19,0,0,1,0,0,0,NA,"Tucson, AZ",-110.9747108,32.2226066,1/8/2011,2198
80,1,4,2011,Prince Georges Co.,MD,3,1,4,0,0,1,0,0,0,NA,"Prince Georges Co., MD",-76.8720961,38.7849211,1/4/2011,2194
81,12,22,2010,South San Francisco,CA,4,2,6,0,0,1,0,0,0,NA,"South San Francisco, CA",-122.4077498,37.654656,12/22/2010,2181
82,12,14,2010,Sacramento,CA,5,1,6,0,0,1,0,0,0,NA,"Sacramento, CA",-121.4943996,38.5815719,12/14/2010,2173
83,12,12,2010,Memphis,TN,5,0,5,0,0,1,0,1,0,NA,"Memphis, TN",-90.0489801,35.1495343,12/12/2010,2171
84,11,30,2010,St.Louis,MO,2,2,4,0,0,1,0,0,0,NA,"St.Louis, MO",-90.1994042,38.6270025,11/30/2010,2159
85,11,28,2010,Cleveland,OH,NA,NA,6,0,0,1,0,0,0,NA,"Cleveland, OH",-81.6943605,41.49932,11/28/2010,2157
86,11,28,2010,Richmond County,GA,NA,NA,5,0,0,1,0,1,0,NA,"Richmond County, GA",-82.0842901,33.3205339,11/28/2010,2157
87,11,24,2010,Bonne Terre,MO,0,3,3,1,0,1,0,0,1,1,"Bonne Terre, MO",-90.5554039,37.9231069,11/24/2010,2153
88,11,13,2010,Erie,PA,0,3,3,1,0,1,0,0,0,1,"Erie, PA",-80.085059,42.1292241,11/13/2010,2142
89,10,30,2010,Atlanta,GA,NA,NA,4,0,0,1,0,1,0,NA,"Atlanta, GA",-84.3879824,33.7489954,10/30/2010,2128
90,10,25,2010,Chicago,IL,1,3,4,0,0,1,0,0,0,1,"Chicago, IL",-87.6297982,41.8781136,10/25/2010,2123
91,10,13,2010,Oklahoma City,OK,5,1,6,0,0,1,0,0,0,NA,"Oklahoma City, OK",-97.5164276,35.4675602,10/13/2010,2111
92,9,28,2010,Boston,MA,0,4,4,0,0,1,0,0,0,NA,"Boston, MA",-71.0588801,42.3600825,9/28/2010,2096
93,9,25,2010,East Orange,NJ,NA,NA,5,0,0,1,1,0,0,1,"East Orange, NJ",-74.2048677,40.767323,9/25/2010,2093
94,9,23,2010,Seattle,WA,1,3,4,0,0,1,0,0,0,0,"Seattle, WA",-122.3320708,47.6062095,9/23/2010,2091
95,9,11,2010,Bay Shore,NY,5,0,5,0,0,1,0,1,0,NA,"Bay Shore, NY",-73.2453946,40.7250986,9/11/2010,2079
96,9,11,2010,Chesapeake,VA,5,0,5,0,0,1,1,0,0,NA,"Chesapeake, VA",-76.2874927,36.7682088,9/11/2010,2079
97,9,6,2010,Lancaster,CA,6,1,7,0,0,1,0,0,1,NA,"Lancaster, CA",-118.1541632,34.6867846,9/6/2010,2074
98,9,5,2010,New Orleans,LA,4,1,5,0,0,1,0,0,0,NA,"New Orleans, LA",-90.0715323,29.9510658,9/5/2010,2073
99,9,5,2010,Durham,NC,10,0,10,0,0,1,0,0,1,NA,"Durham, NC",-78.898619,35.9940329,9/5/2010,2073
100,9,2,2010,Chicago,IL,0,4,4,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,9/2/2010,2070
101,8,22,2010,Louisa,VA,4,2,6,0,1,1,0,0,1,NA,"Louisa, VA",-78.0041649,38.0251394,8/22/2010,2059
102,8,3,2010,Hartford,CT,2,8,10,1,0,1,0,0,0,1,"Hartford, CT",-72.6733723,41.7658043,8/3/2010,2040
103,8,3,2010,Indianapolis,IN,NA,NA,7,0,0,1,0,0,1,1,"Indianapolis, IN",-86.158068,39.768403,8/3/2010,2040
104,7,30,2010,Ft.Lauderdale,FL,NA,NA,5,0,0,1,0,1,0,NA,"Ft.Lauderdale, FL",-80.1373174,26.1224386,7/30/2010,2036
